Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1773198680	202	98850	105308	0	433672	15685	0	135	0	83530321	69272	2531551	9148	0	0	2	2
1773198682	204	98850	105308	0	433672	15685	0	135	0	83530321	69272	2531551	9148	0	0	2	2
1773198684	206	98850	105308	0	433672	15685	0	135	0	83588549	69334	2534029	9169	0	0	2	2
1773198686	208	98850	105308	0	433672	15685	0	135	0	86994531	72089	2550316	9314	0	0	2	2
1773198688	210	98850	105308	0	433672	15685	0	135	0	86997900	72098	2550907	9318	0	0	2	2
1773198690	212	98850	105308	0	433672	15685	0	135	0	87055168	72151	2552232	9328	0	0	2	2
1773198692	214	98850	105308	0	433672	15685	0	135	0	87111887	72204	2553554	9338	0	0	2	2
1773198694	216	98850	105308	0	433672	15685	0	135	0	87112170	72207	2554215	9342	0	0	2	2
1773198696	218	98850	105308	0	433672	15685	0	135	0	90361736	74830	2568583	9466	0	0	2	2
1773198698	220	98850	105308	0	433672	15685	0	135	0	90418682	74879	2569281	9470	0	0	2	2
1773198700	222	98850	105308	0	433672	15685	0	135	0	90420157	74891	2569675	9473	0	0	2	2
1773198702	224	98850	105308	0	433672	15685	0	135	0	90476754	74944	2571306	9485	0	0	2	2
1773198704	226	98850	105308	0	433672	15685	0	135	0	90533609	74992	2572212	9491	0	0	2	2
1773198706	228	98850	105308	0	433672	15685	0	135	0	90533609	74992	2572212	9491	0	0	2	2
1773198708	230	98850	105308	0	433672	15685	0	135	0	94086354	77864	2593171	9679	0	0	2	2
1773198710	232	98850	105308	0	433672	15685	0	135	0	94142556	77913	2593964	9684	0	0	2	2
1773198712	234	98850	105308	0	433672	15685	0	135	0	94142992	77918	2594828	9691	0	0	2	2
1773198714	236	98850	105308	0	433672	15685	0	135	0	94199522	77967	2595834	9698	0	0	2	2
1773198716	238	98850	105308	0	433672	15685	0	135	0	94255812	78015	2596640	9703	0	0	2	2
1773198718	240	98850	105308	0	433672	15685	0	135	0	98911019	81777	2619747	9909	0	0	2	2
1773198720	242	98850	105308	0	433672	15685	0	135	0	98968268	81826	2620426	9913	0	0	2	2
1773198722	244	98850	105308	0	433672	15685	0	135	0	99025053	81875	2621605	9920	0	0	2	2
1773198724	246	98850	105308	0	433672	15685	0	135	0	99025139	81876	2621703	9921	0	0	2	2
1773198726	248	98850	105308	0	433672	15685	0	135	0	99082181	81926	2622772	9927	0	0	2	2
1773198728	250	98850	105308	0	433672	15685	0	135	0	102549429	84731	2641305	10095	0	0	2	2
1773198730	252	98850	105308	0	433672	15685	0	135	0	102549429	84731	2641305	10095	0	0	2	2
1773198732	254	98850	105308	0	433672	15685	0	135	0	102607252	84781	2642272	10100	0	0	2	2
1773198734	256	98850	105308	0	433672	15685	0	135	0	102663800	84830	2642969	10104	0	0	2	2
1773198736	258	98850	105308	0	433672	15685	0	135	0	102663993	84832	2643250	10106	0	0	2	2
1773198738	260	98850	105308	0	433672	15685	0	135	0	106169403	87673	2660603	10256	0	0	2	2
1773198740	262	98850	105308	0	433672	15685	0	135	0	106225874	87724	2661602	10263	0	0	2	2
1773198742	264	98850	105308	0	433672	15685	0	135	0	106226570	87731	2663080	10277	0	0	2	2
1773198744	266	98850	105308	0	433672	15685	0	135	0	106283846	87783	2664834	10291	0	0	2	2
1773198746	268	98850	105308	0	433672	15685	0	135	0	106341195	87832	2666144	10299	0	0	2	2
1773198748	270	98850	105308	0	433672	15685	0	135	0	110633978	91299	2688678	10500	0	0	2	2
1773198750	272	98850	105308	0	433672	15685	0	135	0	110690397	91350	2690008	10510	0	0	2	2
1773198752	274	98850	105308	0	433672	15685	0	135	0	110747382	91400	2690814	10515	0	0	2	2
1773198754	276	98850	105308	0	433672	15685	0	135	0	110747774	91403	2691605	10519	0	0	2	2
1773198756	278	98850	105308	0	433672	15685	0	135	0	110805337	91453	2692685	10526	0	0	2	2
1773198758	280	98850	105308	0	433672	15685	0	135	0	110861556	91500	2693377	10530	0	0	2	2
1773198760	282	98850	105308	0	433672	15685	0	135	0	114210449	94203	2707745	10658	0	0	2	2
1773198762	284	98850	105308	0	433672	15685	0	135	0	114266737	94251	2708222	10660	0	0	2	2
1773198764	286	98850	105308	0	433672	15685	0	135	0	114323074	94299	2709216	10666	0	0	2	2
1773198766	288	98850	105308	0	433672	15685	0	135	0	114323074	94299	2709406	10667	0	0	2	2
1773198768	290	98850	105308	0	433672	15685	0	135	0	114380033	94348	2710423	10674	0	0	2	2
1773198770	292	98850	105308	0	433672	15685	0	135	0	117919816	97210	2728829	10840	0	0	2	2
1773198772	294	98850	105308	0	433672	15685	0	135	0	117919816	97210	2729019	10841	0	0	2	2
1773198774	296	98850	105308	0	433672	15685	0	135	0	117976296	97258	2729604	10844	0	0	2	2
