Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1773205121	192	74414	80936	0	384844	16087	0	137	0	77221891	55304	340307	2986	0	0	2	2
1773205123	194	74414	80936	0	384844	16087	0	137	0	77222009	55305	340687	2988	0	0	2	2
1773205125	196	74414	80936	0	384844	16087	0	137	0	77278593	55347	341597	2997	0	0	2	2
1773205127	198	74414	80936	0	384844	16087	0	137	0	77334636	55391	342752	3008	0	0	2	2
1773205129	200	74414	80936	0	384844	16087	0	137	0	77334754	55392	343132	3010	0	0	2	2
1773205131	202	74414	80936	0	384844	16087	0	137	0	77334898	55394	343463	3012	0	0	2	2
1773205133	204	74414	80936	0	384844	16087	0	137	0	77342877	55412	351549	3026	0	0	2	2
1773205135	206	74414	80936	0	384844	16087	0	137	0	77342877	55412	351549	3026	0	0	2	2
1773205137	208	74414	80936	0	384844	16087	0	137	0	77342963	55413	351549	3026	0	0	2	2
1773205139	210	74414	80936	0	384844	16087	0	137	0	77355149	55464	404306	3095	0	0	2	2
1773205141	212	74414	80936	0	384844	16087	0	137	0	77359799	55490	427690	3129	0	0	2	2
1773205143	214	74414	80936	0	384844	16087	0	137	0	77378986	55544	477610	3196	0	0	2	2
1773205145	216	74414	80936	0	384844	16087	0	137	0	77447850	55726	573417	3361	0	0	2	2
1773205147	218	74414	80936	0	384844	16087	0	137	0	77461113	55787	617611	3436	0	0	2	2
1773205149	220	74414	80936	0	384844	16087	0	137	0	77473695	55833	645995	3491	0	0	2	2
1773205151	222	74414	80936	0	384844	16087	0	137	0	77476472	55853	667314	3520	0	0	2	2
1773205153	224	74414	80936	0	384844	16087	0	137	0	77482296	55887	690038	3563	0	0	2	2
1773205155	226	74414	80936	0	384844	16087	0	137	0	77485422	55902	695339	3576	0	0	2	2
1773205157	228	74413	80936	0	384844	16087	0	137	0	77490285	55928	706907	3608	0	0	2	2
1773205159	230	74413	80936	0	384844	16087	0	137	0	77500860	55968	718282	3643	0	0	2	2
